Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,61685,1384.3735,281,843001,6.31
oEDe6JMwL7Q,Study room make over for NEET aspriant || suuz,"Apr 29, 2020",292,58005,1321.6783,269,797168,6.32
uu4Cy28Q4Vk,being a one day NEET aspirant || suuz study,"Jun 17, 2020",375,395,6.1052,3,5256,6.35
4LKXRgTeh0c,ANIME JOURNAL w/me || Izuku Midoriya || Part 1||,"Apr 11, 2021",573,343,6.6874,6,4382,5.89
9mtaTslQues,5 Study hacks || it's Tania || HACKS || #withme,"Jun 9, 2020",384,268,5.4395,2,3326,6.76
vYwkY631oJw,5 tips for notes making || notes || tips,"Apr 21, 2020",219,235,3.4274,9,1888,9.16
wcbi7atgxQU,Study with me || vlog #1 || suuz study,"Jul 8, 2020",233,210,2.8219,5,3320,5
WOhmKxVK2YA,Rainy day || Study with me || India || it's Tania,"Aug 21, 2020",338,166,2.4379,-3,2391,5.6
Ty9H6RF7mg0,My flip journal || bullet journal || $tudy journal,"May 2, 2020",366,160,2.9899,3,2142,4.9
BQbYH7tldPw,Study with us while quarantine || study with us #withme,"May 4, 2020",1125,159,1.6701,2,2278,4.48
OxjDdfugzUA,My shelf tour|| part 2,"Oct 11, 2020",572,159,3.4371,0,1296,8.87
FkK88wSHNGQ,Desk tour [part 1]( ╹▽╹ ),"Oct 2, 2020",829,156,5.4328,2,1452,7.99
0ZjebDuzx2c,Study with me||India||^_^,"Sep 5, 2020",507,146,2.74,1,2672,4.34
WUs4ZinP97E,"Vlog ep 001✨academic session end, new anime,games etc✨","Mar 17, 2021",512,131,2.0985,3,631,13
IC-Qi8FEpRc,ANIME JOURNAL w/me || Bakugo katsuki || Part 2 ||,"May 28, 2021",407,117,1.7554,3,1300,5.62
Kbn-rMfuiSU,Study with me +some study motivational quotes,"Aug 6, 2020",503,115,1.8041,2,2348,4.22
YcBrQTAEpZ0,Summer Holiday✨Vlog ep 002 ✨,"Jun 18, 2021",345,110,2.7358,2,983,7.73
OdwN_I5ddZU,How to make cover for journal || journal || part - 2,"Apr 12, 2020",280,109,1.0834,0,1451,6
96fgHJzkhsY,Procastinate with me ✨ ft. reiaxkerman ✨,"Apr 27, 2021",430,106,1.2286,3,1145,6.72
ZzmsOjGRVUU,Bullet journal cover design || journal || part 1,"Apr 11, 2020",414,93,1.0953,4,533,13.32
LMdbJZqNCk8,Bird in the house 🐦 || Bird upbringing,"May 7, 2020",269,88,0.8656,-1,2263,3.18
Wf9Z6EitqSU,B'day vlog ^_^,"Dec 6, 2020",610,76,2.7658,0,608,6.91
yPYZkWJcA8A,HTML practice week,"Dec 25, 2020",601,62,0.9827,1,621,6.28
55k9Ywrvnho,Winter morning routine ❄️🥶,"Jan 28, 2021",336,50,1.3232,0,1351,2.15
h-SiGippEGw,Diagram making || suuz,"Jan 15, 2021",316,44,0.4148,0,537,5.96
